Time_period,Country,Region,Total area of the country (1000 ha),% of total country area cultivated (%),Total population (1000 inhab),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Surface water: entering the country (total) (10^9 m3/year),Surface water: leaving the country to other countries (total) (10^9 m3/year),Surface water: total external renewable (10^9 m3/year),Groundwater: entering the country (total) (10^9 m3/year),Groundwater: leaving the country to other countries (total) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable surface water (10^9 m3/year),Total renewable groundwater (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total exploitable water resources (10^9 m3/year),Interannual variability (WRI) (-),Seasonal variability (WRI) (-),Total dam capacity (km3),Irrigation potential (1000 ha),Area equipped for irrigation: total (1000 ha),Area equipped for irrigation: actually irrigated (1000 ha),% of the cultivated area equipped for irrigation (%),% of irrigation potential equipped for irrigation (%),Flood recession cropping area non-equipped (1000 ha),Cultivated wetlands and inland valley bottoms non-equipped (1000 ha),% of agricultural water managed area equipped for irrigation (%),% of area equipped for irrigation by surface water (%),% of area equipped for irrigation by groundwater  (%),Total harvested irrigated crop area (full control irrigation) (1000 ha),Irrigated cropping intensity (%),% of total grain production irrigated (%),Area salinized by irrigation (1000 ha),Area waterlogged by irrigation (1000 ha),Flood occurrence (WRI) (-),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhab)
1958-1962,Bahrain,Asia | Middle East | Arabian Peninsula,69,4.348,173.1,30.5,142.6,250.9,,0.0573,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,,4.23,,,,,,,,,,,,,,,,,,
1958-1962,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.0561,335.2,78.2,257,18.81,5454,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,,,,,,,,,,,,,,,,,,
1958-1962,Oman,Asia | Middle East | Arabian Peninsula,30950,0.1131,578.8,471.1,107.7,1.87,97.22,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Qatar,Asia | Middle East | Arabian Peninsula,1161,0.0861,56.19,7.8,48.39,4.84,,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,0.5536,4363,2906,1457,2.03,401.1,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.0957,112.2,30.35,81.85,1.342,,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.553,5339,4820,518.7,10.11,,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.0052,,,,,,,,,,,,,,,,,,,
1958-1962,Armenia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Azerbaijan,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Georgia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,8.761,23071,14964,8107,13.22,203.4,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,4.448,15000,,,,,,,,,,,,,,,,,,
1958-1962,Iraq,Asia | Middle East | Near East,43832,10.85,7674,4146,3528,17.51,254.7,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,88.3,5554,,,,,,,,,,,,,,,,,,
1958-1962,Israel,Asia | Middle East | Near East,2207,17.72,2264,481,1783,102.6,1147,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Jordan,Asia | Middle East | Near East,8878,3.334,962.8,450.4,512.4,10.84,,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,,85,,,,,,,,,,,,,,,,,,
1958-1962,Lebanon,Asia | Middle East | Near East,1045,25.84,1925,1044,880.8,184.2,,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,,177.5,,,,,,,,,,,,,,,,,,
1958-1962,Occupied Palestinian Territory,Asia | Middle East | Near East,602,33.55,1129,613.9,515.1,187.5,,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Syrian Arab Republic,Asia | Middle East | Near East,18518,34.78,4897,3034,1863,26.44,226.8,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,0.295,,,,,,,,,,,,,,,,,,,
1958-1962,Turkey,Asia | Middle East | Near East,78535,32.28,28910,19486,9424,36.81,308.6,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,11.16,8500,,,,,,,,,,,,,,,,,,
1958-1962,Afghanistan,Asia | Central Asia,65286,11.89,9344,8539,804.9,14.31,58.5,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,1.2,,,,,,,,,,,,,,,,,,,
1958-1962,Kazakhstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Kyrgyzstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Tajikistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Turkmenistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Uzbekistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,59.79,51031,48150,2881,343.7,99.58,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,1.786,6933,,,,,,,,,,,,,,,,,,
1958-1962,Bhutan,Asia | Southern and Eastern Asia | South Asia,4700,2.404,234.7,225.3,9.39,4.994,,103.4,95,9.5,9.5,95,0,95,0,0,,0,95,9.5,95,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,India,Asia | Southern and Eastern Asia | South Asia,328726,49.4,468054,382801,85253,142.4,91.66,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,55,139500,26373,24880,16.24,18.91,,,100,65.98,27.68,27980,112.5,,,,,,,
1958-1962,Maldives,Asia | Southern and Eastern Asia | South Asia,30,13.33,94.91,84.32,10.59,316.4,,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,12.44,10377,10020,356.9,70.51,55.32,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,,,,2178,,,,,,,,,,,,,,,,,,
1958-1962,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,38.74,47123,36233,10890,59.19,89.83,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,,,2.78,21300,,,,,,,,,,,,,,,,,,
1958-1962,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,23.2,10366,8630,1736,158,138.4,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,,,,570,,,,,,,,,,,,,,,,,,
1958-1962,China,Asia | Southern and Eastern Asia | East Asia,960000,10.94,680242,558422,121820,70.86,68.63,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,,,,70000,,,,,,,,,,,,,,,,,,
1958-1962,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,19.33,11872,6870,5002,98.49,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,,,9.81,,,,,,,,,,,,,,,,,,,
1958-1962,Japan,Asia | Southern and Eastern Asia | East Asia,37780,15.93,94264,32857,61407,249.5,644.2,630.2,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.4629,1011,609.2,401.8,0.6464,,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,,,0.25,518,,,,,,,,,,,,,,,,,,
1958-1962,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,9926,20.78,26495,18689,7806,266.9,103.6,126.5,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,,,,2063,,,,,,,,,,,,,,,,,,
1958-1962,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,16.31,6027,5404,622.5,33.29,109.5,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,2.745,2220,2040,179.7,9.375,,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,,,,600,,,,,,,,,,,,,,,,,,
1958-1962,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,14.99,22447,17978,4469,33.18,,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,,,,10500,540,,5.325,5.143,,,100,,,,,,,,,,,
1958-1962,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,22.8,29081,23301,5780,56.67,113.8,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,,,,8.709,12245,,,,,,,,,,,,,,,,,,
1958-1962,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,33169,18.16,34684,29312,5372,104.6,,604,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,,,,,9400,,,,,,,,,,,,,,,,,,
1958-1962,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,2.6,89.6,47.43,42.17,15.53,,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,,,0.045,,,,,,,,,,,,,,,,,,,
1958-1962,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,13.61,92558,78538,14020,48.44,,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,,,,2.993,10886,,,,,,,,,,,,,,,,,,
1958-1962,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,8.963,8711,6281,2430,26.33,229.8,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,,,0.2079,413.7,,,,,,,,,,,,,,,,,,
1958-1962,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,0.9182,2037,1948,88.56,4.401,128.2,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,,,,36,,,,,,,,,,,,,,,,,,
1958-1962,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,23.27,28081,19428,8653,93.6,156.7,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,,,,3126,,,,,,,,,,,,,,,,,,
1958-1962,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,68,20.59,1742,0,1742,2562,474.1,1.698,,,,0.6,0,0,0,0,0,0,,,0.6,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,5.38,517.4,463,54.42,34.79,,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Bahrain,Asia | Middle East | Arabian Peninsula,69,4.348,196.2,33.3,162.9,284.3,,0.0573,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,,4.23,,,,,,,,,,,,,,,,,,
1963-1967,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.0561,585.8,104.8,481,32.87,4168,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,,,,,,,,,,,,,,,,,,
1963-1967,Oman,Asia | Middle East | Arabian Peninsula,30950,0.1228,660.1,494.4,165.7,2.133,162.3,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Qatar,Asia | Middle East | Arabian Peninsula,1161,0.0861,86.16,10.68,75.48,7.421,,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,0.6066,5196,2990,2206,2.417,510,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.1196,171.8,39.1,132.7,2.055,,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.648,5827,5139,687.7,11.04,,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.0052,,,,,,,,,,,,,,,,,,,
1963-1967,Armenia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Azerbaijan,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Georgia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,8.91,26318,16141,10177,15.08,287.1,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,9.317,15000,,,,,,,,,,,,,,,,,,
1963-1967,Iraq,Asia | Middle East | Near East,43832,11.36,8947,4210,4737,20.41,312.4,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,101.1,5554,,,,,,,,,,,,,,,,,,
1963-1967,Israel,Asia | Middle East | Near East,2207,18.62,2653,470,2183,120.2,1478,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Jordan,Asia | Middle East | Near East,8878,3.458,1320,594.4,725.6,14.87,478.5,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,,85,,,,,,,,,,,,,,,,,,
1963-1967,Lebanon,Asia | Middle East | Near East,1045,29.28,2175,992,1183,208.1,,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,0.22,177.5,,,,,,,,,,,,,,,,,,
1963-1967,Occupied Palestinian Territory,Asia | Middle East | Near East,602,34.05,1165,570.4,594.6,193.5,,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Syrian Arab Republic,Asia | Middle East | Near East,18518,33.1,5767,3383,2384,31.14,274,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,0.295,,,,,,,,,,,,,,,,,,,
1963-1967,Turkey,Asia | Middle East | Near East,78535,33.42,32448,20845,11603,41.32,482.8,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,12.59,8500,,,,,,,,,,,,,,,,,,
1963-1967,Afghanistan,Asia | Central Asia,65286,12.22,10369,9303,1066,15.88,161.4,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,1.2,,2715,,34.03,,,,100,84.6,15.4,,,,,,,,,
1963-1967,Kazakhstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Kyrgyzstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Tajikistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Turkmenistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Uzbekistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,61.26,59625,55520,4105,401.6,121.7,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,6.477,6933,,,,,,,,,,,,,,,,,,
1963-1967,Bhutan,Asia | Southern and Eastern Asia | South Asia,4700,2.426,266.3,252.4,13.87,5.666,,103.4,95,9.5,9.5,95,0,95,0,0,,0,95,9.5,95,0,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,India,Asia | Southern and Eastern Asia | South Asia,328726,49.83,519162,419528,99634,157.9,98.26,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,95,139500,28525,26910,17.42,20.45,,,100,,,30900,114.8,,,,,,,
1963-1967,Maldives,Asia | Southern and Eastern Asia | South Asia,30,13.33,107.5,95.47,12.03,358.3,,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,12.54,11307,10892,415.4,76.82,74.46,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,,,,2178,,,,,,,,,,,,,,,,,,
1963-1967,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,40.79,53594,40479,13115,67.32,138.1,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,,,2.957,21300,,,,,,,,,,,,,,,,,,
1963-1967,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,28.58,11662,9521,2141,177.7,159.4,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,,,,570,,,,,,,,,,,,,,,,,,
1963-1967,China,Asia | Southern and Eastern Asia | East Asia,960000,10.8,761820,620777,141043,79.36,94.59,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,,,,70000,,,,,,,,,,,,,,,,,,
1963-1967,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,19.33,13222,6997,6225,109.7,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,,,9.851,,,,,,,,,,,,,,,,,,,
1963-1967,Japan,Asia | Southern and Eastern Asia | East Asia,37780,15.72,99711,30396,69315,263.9,1244,630.2,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.5236,1173,666.4,506.6,0.7499,,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,,,0.25,518,,,,,,,,,,,,,,,,,,
1963-1967,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,9926,23.29,29607,19253,10354,298.3,158.8,126.5,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,,,,2312,,,,,,,,,,,,,,,,,,
1963-1967,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,16.84,6695,5885,809.8,36.98,143.8,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,2.787,2495,2278,216.8,10.54,,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,,,,600,,,,,,,,,,,,,,,,,,
1963-1967,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,15.35,25218,19745,5473,37.27,,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,,,,10500,,,,,,,,,,,,,,,,,,
1963-1967,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,25.49,33778,26873,6905,65.83,166.9,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,,,,22.34,12245,,,,,,,,,,,,,,,,,,
1963-1967,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,33169,18.3,40075,33144,6931,120.8,,604,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,,,,,9400,,,,,,,,,,,,,,,,,,
1963-1967,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,2.946,112.7,49.27,63.43,19.53,1234,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,,,0.045,,,,,,,,,,,,,,,,,,,
1963-1967,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,13.61,105907,88701,17206,55.42,56.47,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,,,,3.034,10886,,,,,,,,,,,,,,,,,,
1963-1967,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,10.38,10112,6947,3165,30.57,315.4,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,,,0.2228,413.7,,,,,,,,,,,,,,,,,,
1963-1967,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,1.048,2259,2107,151.6,4.881,195.5,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,,,,36,,,,,,,,,,,,,,,,,,
1963-1967,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,24.87,32827,22278,10549,109.4,207.4,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,,,,3126,,,,,,,,,,,,,,,,,,
1963-1967,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,68,19.12,1961,0,1961,2884,631,1.698,,,,0.6,0,0,0,0,0,0,,,0.6,0,,,,,,,,,,,,,,,,,,,,,,,
1963-1967,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,5.514,567.3,499.4,67.91,38.15,,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Bahrain,Asia | Middle East | Arabian Peninsula,69,4.348,229.6,36.1,193.5,332.8,,0.0573,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,,4.23,,,,,,,,,,,,,,,,,,
1968-1972,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.0561,866.8,110.6,756.2,48.64,5134,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,,,,,,,,,,,,,,,,,,
1968-1972,Oman,Asia | Middle East | Arabian Peninsula,30950,0.1422,776.4,520.5,255.9,2.509,472.5,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Qatar,Asia | Middle East | Arabian Peninsula,1161,0.0861,130.4,14.8,115.6,11.23,3913,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,0.7057,6382,3039,3343,2.969,1514,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,0.051,,,,,,,,,,,,,,,,,,,
1968-1972,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.1435,324.1,66.8,257.3,3.877,,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.722,6371,5497,874.4,12.07,,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.0052,,,,,,,,,,,,,,,,,,,
1968-1972,Armenia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Azerbaijan,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Georgia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,9.627,30074,17091,12983,17.23,570.4,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,11.19,15000,,,,,,,,,,,,,,,,,,
1968-1972,Iraq,Asia | Middle East | Near East,43832,11.77,10600,4424,6176,24.18,388.1,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,127.1,5554,,,,,,,,,,,,,,,,,,
1968-1972,Israel,Asia | Middle East | Near East,2207,18.62,3034,445,2589,137.5,2364,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Jordan,Asia | Middle East | Near East,8878,3.593,1812,786,1026,20.41,435.1,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,0.0066,85,,,,,,,,,,,,,,,,,,
